jL,cL,emL,pL,dsL
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,CA Previous Reports
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,Cal-SIMETAW Unit Values
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,California Central Valley Simulation (C2VSim)
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,CALSIM2
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,California Agricultural Land and Water Use Estimates
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,California Water Plan Portfolio
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,CA DWR Land Use Surveys
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,SWRCB Water Conservation Portal
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,CA Integrated Water Flow Model (IWFM)
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,MODFLOW-OWHM: One Water Hydrologic Flow Model
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,California Water Plan Update Data
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,Local Agency Records
CA,Groundwater Extraction-CA,Central Valley Hydrologic Model (CVHM),,California State Water Resources Control Board (SWRCB) Urban Water Supply Statistics
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,CA Previous Reports
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,Cal-SIMETAW Unit Values
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,California Central Valley Simulation (C2VSim)
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,CALSIM2
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,California Agricultural Land and Water Use Estimates
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,California Water Plan Portfolio
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,CA DWR Land Use Surveys
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,SWRCB Water Conservation Portal
CA,Groundwater Extraction-CA,Applied Water Estimation Method,,CA Integrated Water Flow Model (IWFM)
