jL,cL,emL,pL,dsL
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigation Method,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Irrigation Requirement,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Solar Radiation,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Temperature,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Wind Run,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Climate Coefficient (kt),National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Growth State Coefficient (Kc),National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Mean Monthly Air Temperatures (T),National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),Remote Automated Weather Stations (RAWS)
