jL,cL,emL,pL,dsL
NM,Irrigated Agriculture Depletions-NMOSE,NM Consumptive Use Method,,
NM,Livestock-NMOSE,,,
NM,Commercial-NMOSE,,,
NM,Industrial-NMOSE,Metered,Flow,NM Office of the State Engineer (NMOSE)
NM,Mining-NMOSE,,,
NM,Power-NMOSE,,,
NM,Public Water Supply-NMOSE,,,
NM,Recharge-NM,,,
NM,Precipitation-NM,Monthly Precipitation Volume,,
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),PRISM
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),Weather Stations
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),NM Office of the State Engineer (NMOSE)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),US Bureau of Reclamation Stations
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),Historical Diversions File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),New Mexico Interstate Stream Commission (NMISC)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),USDA Cropland Data Layer (CDL)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),National Agricultural Statistics Service
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),USDA Farm Service Agency
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),NMOSE Crop Acreage File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Mean Monthly Air Temperatures (T),NMOSE Growing Season File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,PRISM
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,Weather Stations
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,NM Office of the State Engineer (NMOSE)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,US Bureau of Reclamation Stations
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,Historical Diversions File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,New Mexico Interstate Stream Commission (NMISC)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,USDA Cropland Data Layer (CDL)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,National Agricultural Statistics Service
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,USDA Farm Service Agency
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,NMOSE Crop Acreage File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Monthly Precipitation Volume,NMOSE Growing Season File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,PRISM
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,Weather Stations
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,NM Office of the State Engineer (NMOSE)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,US Bureau of Reclamation Stations
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,Historical Diversions File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,New Mexico Interstate Stream Commission (NMISC)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,USDA Cropland Data Layer (CDL)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,National Agricultural Statistics Service
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,USDA Farm Service Agency
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,NMOSE Crop Acreage File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Gross Actively Irrigated Acreage,NMOSE Growing Season File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),PRISM
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),Weather Stations
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),NM Office of the State Engineer (NMOSE)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),US Bureau of Reclamation Stations
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),Historical Diversions File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),New Mexico Interstate Stream Commission (NMISC)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),USDA Cropland Data Layer (CDL)
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),National Agricultural Statistics Service
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),USDA Farm Service Agency
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),NMOSE Crop Acreage File
NM,Commercial: Golf Courses-NMOSE,NM Irrigation Withdrawals,Consumptive Irrigation Requirement (CIR),NMOSE Growing Season File
NM,Commercial: Unmetered-NMOSE,Personal Outreach,Water Use Estimate,Facility Director or Operator
NM,Commercial: Incomplete Metered-NMOSE,Interpolation from Other Records,,NM Office of the State Engineer (NMOSE)
NM,Commercial: Metered-NMOSE,Metered,Flow,NM Office of the State Engineer (NMOSE)
NM,Commercial: Schools-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),NM Office of the State Engineer (NMOSE)
NM,Commercial: Schools-NMOSE,Withdrawal Method,Student Population,NM Office of the State Engineer (NMOSE)
NM,Irrigated Agriculture-NMOSE,,,
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),PRISM
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),Weather Stations
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),NM Office of the State Engineer (NMOSE)
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),Irrigation Districts
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),New Mexico Interstate Stream Commission (NMISC)
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),USDA Cropland Data Layer (CDL)
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),US Bureau of Reclamation
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),National Agricultural Statistics Service
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),USDA Farm Service Agency
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),NMOSE Crop Acreage File
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),NMOSE Growing Season File
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),Conservancy Districts
NM,Irrigated Agriculture Diversions-NMOSE,,Mean Monthly Air Temperatures (T),NMOSE Temperature and Precipitation File
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,PRISM
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,Weather Stations
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,NM Office of the State Engineer (NMOSE)
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,Irrigation Districts
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,New Mexico Interstate Stream Commission (NMISC)
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,USDA Cropland Data Layer (CDL)
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,US Bureau of Reclamation
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,National Agricultural Statistics Service
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,USDA Farm Service Agency
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,NMOSE Crop Acreage File
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,NMOSE Growing Season File
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,Conservancy Districts
NM,Irrigated Agriculture Diversions-NMOSE,,Monthly Precipitation Volume,NMOSE Temperature and Precipitation File
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,PRISM
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,Weather Stations
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,NM Office of the State Engineer (NMOSE)
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,Irrigation Districts
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,New Mexico Interstate Stream Commission (NMISC)
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,USDA Cropland Data Layer (CDL)
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,US Bureau of Reclamation
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,National Agricultural Statistics Service
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,USDA Farm Service Agency
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,NMOSE Crop Acreage File
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,NMOSE Growing Season File
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,Conservancy Districts
NM,Irrigated Agriculture Diversions-NMOSE,,Gross Actively Irrigated Acreage,NMOSE Temperature and Precipitation File
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),PRISM
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),Weather Stations
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),NM Office of the State Engineer (NMOSE)
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),Irrigation Districts
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),New Mexico Interstate Stream Commission (NMISC)
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),USDA Cropland Data Layer (CDL)
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),US Bureau of Reclamation
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),National Agricultural Statistics Service
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),USDA Farm Service Agency
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),NMOSE Crop Acreage File
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),NMOSE Growing Season File
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),Conservancy Districts
NM,Irrigated Agriculture Diversions-NMOSE,,Consumptive Irrigation Requirement (CIR),NMOSE Temperature and Precipitation File
NM,Evaporation-NM,,,
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Annual Evaporation,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Annual Evaporation,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Annual Evaporation,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Annual Evaporation,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Annual Evaporation,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Annual Evaporation,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Evaporation,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Evaporation,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Evaporation,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Evaporation,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Evaporation,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Evaporation,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Average Monthly Reservoir Gage Height,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Average Monthly Reservoir Gage Height,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Average Monthly Reservoir Gage Height,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Average Monthly Reservoir Gage Height,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Average Monthly Reservoir Gage Height,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Average Monthly Reservoir Gage Height,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Class A Pan Evaporation Data,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Class A Pan Evaporation Data,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Class A Pan Evaporation Data,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Class A Pan Evaporation Data,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Class A Pan Evaporation Data,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Class A Pan Evaporation Data,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Precipitation Volume,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Precipitation Volume,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Precipitation Volume,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Precipitation Volume,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Precipitation Volume,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Precipitation Volume,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Rainfall,USGS Stream Gages
