jL,cL,emL,pL,dsL
UT,Agricultural and Municipal Depletions-UT,,,
UT,Agricultural and Municipal Diversions-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Agricultural and Municipal Diversions-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Agricultural and Municipal Diversions-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Agricultural and Municipal Diversions-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Agricultural and Municipal Diversions-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Agricultural and Municipal Diversions-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Agricultural and Municipal Diversions-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Agricultural and Municipal Diversions-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Agricultural and Municipal Diversions-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Agricultural and Municipal Diversions-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Agricultural and Municipal Diversions-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Agricultural and Municipal Diversions-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Agricultural Depletions-UT,UT Consumptive Use Method,,
UT,Municipal and Industrial Depeltion-UT,,,
UT,Surface Diversion to Cropland-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Surface Diversion to Cropland-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Surface Diversion to Cropland-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Surface Diversion to Cropland-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Surface Diversion to Cropland-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Surface Diversion to Cropland-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Surface Diversion to Cropland-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Surface Diversion to Cropland-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Surface Diversion to Cropland-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Surface Diversion to Cropland-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Surface Diversion to Cropland-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Surface Diversion to Cropland-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Solar Radiation,PRISM
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Solar Radiation,National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Solar Radiation,US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Solar Radiation,USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Temperature,PRISM
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Temperature,National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Temperature,US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Temperature,USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Vapor Pressure,PRISM
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Vapor Pressure,National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Vapor Pressure,US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Vapor Pressure,USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Wind Run,PRISM
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Wind Run,National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Wind Run,US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Wind Run,USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Climate Coefficient (kt),PRISM
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Climate Coefficient (kt),National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Climate Coefficient (kt),US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Climate Coefficient (kt),USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Crop Growth State Coefficient (Kc),PRISM
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Crop Growth State Coefficient (Kc),National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Crop Growth State Coefficient (Kc),US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Crop Growth State Coefficient (Kc),USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Mean Monthly Air Temperatures (T),PRISM
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Mean Monthly Air Temperatures (T),National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Mean Monthly Air Temperatures (T),US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Mean Monthly Air Temperatures (T),USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Monthly Percentage of Annual Daylight Hours (P),PRISM
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Monthly Percentage of Annual Daylight Hours (P),National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Monthly Percentage of Annual Daylight Hours (P),US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Daily Penman-Monteith,Monthly Percentage of Annual Daylight Hours (P),USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Solar Radiation,PRISM
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Solar Radiation,National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Solar Radiation,US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Solar Radiation,USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Temperature,PRISM
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Temperature,National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Temperature,US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Temperature,USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Vapor Pressure,PRISM
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Vapor Pressure,National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Vapor Pressure,US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Vapor Pressure,USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Wind Run,PRISM
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Wind Run,National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Wind Run,US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Wind Run,USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Climate Coefficient (kt),PRISM
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Climate Coefficient (kt),National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Climate Coefficient (kt),US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Climate Coefficient (kt),USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Crop Growth State Coefficient (Kc),PRISM
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Crop Growth State Coefficient (Kc),National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Crop Growth State Coefficient (Kc),US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Crop Growth State Coefficient (Kc),USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Mean Monthly Air Temperatures (T),PRISM
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Mean Monthly Air Temperatures (T),National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Mean Monthly Air Temperatures (T),US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Mean Monthly Air Temperatures (T),USU Research Report 145
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Monthly Percentage of Annual Daylight Hours (P),PRISM
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Monthly Percentage of Annual Daylight Hours (P),National Oceanic and Atmospheric Administration Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Monthly Percentage of Annual Daylight Hours (P),US Bureau of Reclamation AgriMet Stations
UT,Agricultural Potential Consumptive Use-UT,Modified Blaney-Criddle,Monthly Percentage of Annual Daylight Hours (P),USU Research Report 145
UT,Area Outflows-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Area Outflows-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Area Outflows-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Area Outflows-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Area Outflows-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Area Outflows-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Area Outflows-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Area Outflows-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Area Outflows-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Area Outflows-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Area Outflows-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Area Outflows-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Basin Outflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Basin Outflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Basin Outflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Basin Outflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Basin Outflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Basin Outflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Basin Outflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Basin Outflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Basin Outflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Basin Outflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Basin Outflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Basin Outflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Basin Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Basin Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Basin Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Basin Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Basin Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Basin Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,Basin Inflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,Basin Inflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,Basin Inflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,Basin Inflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,Basin Inflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,Basin Inflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,River Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,River Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
UT,River Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Municipal Potable and Secondary Diversion Records
UT,River Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Other Irrigation Company Records
UT,River Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Reservoir Storage and Release Records
UT,River Inflow-UT,USGS StreamStats,USGS Mean Annual Reach Estimates,UT Water Rights Database
UT,River Inflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,USGS Stream Gages
UT,River Inflow-UT,UT Division of Water Resources Area-Altitude Method,USGS Mean Annual Reach Estimates,UT Diversion Records from River Commissioners
