jL,cL,emL,pL,dsL
WY,Municipal Consumptive Use-WY,Withdrawal Method,Population,US Census Bureau
WY,Municipal Consumptive Use-WY,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),US Census Bureau
WY,Municipal Total Use-WY,Withdrawal Method,Population,US Census Bureau
WY,Municipal Total Use-WY,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),US Census Bureau
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,USGS Stream Gages
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,PRISM
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,National Oceanic and Atmospheric Administration Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,US Geological Survey (USGS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,SCS TR21
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,Satellite and Aerial Photos
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,Snotel Network of Weather Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,Remote Automated Weather Stations (RAWS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,National Weather Service Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,National Climatic Data Center's Climatography of the United States No. 81
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,Natural Resources Conservation Service Stations (NRCS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,US Bureau of Land Management (BLM)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,WY Department of Environmental Quality (DEQ)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,Wyoming State Engineer's Office Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,Wyoming Water Resources Data System (WRDS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Irrigation Method,WY Diversion Records
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,USGS Stream Gages
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,PRISM
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,National Oceanic and Atmospheric Administration Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,US Geological Survey (USGS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,SCS TR21
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,Satellite and Aerial Photos
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,Snotel Network of Weather Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,Remote Automated Weather Stations (RAWS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,National Weather Service Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,National Climatic Data Center's Climatography of the United States No. 81
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,Natural Resources Conservation Service Stations (NRCS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,US Bureau of Land Management (BLM)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,WY Department of Environmental Quality (DEQ)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,Wyoming State Engineer's Office Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,Wyoming Water Resources Data System (WRDS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Crop Irrigation Requirement,WY Diversion Records
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,USGS Stream Gages
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,PRISM
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,National Oceanic and Atmospheric Administration Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,US Geological Survey (USGS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,SCS TR21
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,Satellite and Aerial Photos
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,Snotel Network of Weather Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,Remote Automated Weather Stations (RAWS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,National Weather Service Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,National Climatic Data Center's Climatography of the United States No. 81
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,Natural Resources Conservation Service Stations (NRCS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,US Bureau of Land Management (BLM)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,WY Department of Environmental Quality (DEQ)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,Wyoming State Engineer's Office Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,Wyoming Water Resources Data System (WRDS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Solar Radiation,WY Diversion Records
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,USGS Stream Gages
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,PRISM
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,National Oceanic and Atmospheric Administration Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,US Geological Survey (USGS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,SCS TR21
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,Satellite and Aerial Photos
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,Snotel Network of Weather Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,Remote Automated Weather Stations (RAWS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,National Weather Service Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,National Climatic Data Center's Climatography of the United States No. 81
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,Natural Resources Conservation Service Stations (NRCS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,US Bureau of Land Management (BLM)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,WY Department of Environmental Quality (DEQ)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,Wyoming State Engineer's Office Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,Wyoming Water Resources Data System (WRDS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Temperature,WY Diversion Records
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,USGS Stream Gages
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,PRISM
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,National Oceanic and Atmospheric Administration Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,US Geological Survey (USGS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,SCS TR21
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,Satellite and Aerial Photos
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,Snotel Network of Weather Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,Remote Automated Weather Stations (RAWS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,National Weather Service Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,National Climatic Data Center's Climatography of the United States No. 81
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,Natural Resources Conservation Service Stations (NRCS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,US Bureau of Land Management (BLM)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,WY Department of Environmental Quality (DEQ)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,Wyoming State Engineer's Office Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,Wyoming Water Resources Data System (WRDS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Vapor Pressure,WY Diversion Records
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Wind Run,USGS Stream Gages
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Wind Run,PRISM
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Wind Run,National Oceanic and Atmospheric Administration Stations
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Wind Run,US Geological Survey (USGS)
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Wind Run,SCS TR21
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Wind Run,Satellite and Aerial Photos
WY,Agricultural Consumptive Use-WY,WY Consumptive Use Method,Wind Run,Snotel Network of Weather Stations
