state,name,key,flow_type,flow_source,flow_sink,uri,imports
CA,a. CA-Agricultural Applied Water,CA-Agricultural Applied Water,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,
CA,a. CA-Applied Water,CA-Applied Water,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,
CA,a. CA-Applied Water Reuse/Recycled Water,CA-Applied Water Reuse/Recycled Water,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/AppliedWaterReuse%2FRecycledWater-CA,
CA,a. CA-CA DWR Public Water Supply Statistics Dataistorical,CA-CA DWR Public Water Supply Statistics Dataistorical,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DWRPublicWaterSupplyStatisticsData-Historical,
CA,a. CA-Cal Model,CA-Cal Model,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Cal-SIMETAWModel,
CA,a. CA-Central Valley Spatial Databasepart of the Central Valley Hydrologic Model [CVHM] project,CA-Central Valley Spatial Databasepart of the Central Valley Hydrologic Model [CVHM] project,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/CentralValleySpatialDatabase-partOfTheCentralValleyHydrologicModel%5BCVHM%5DProject,
CA,a. CA-Change in Groundwater Storage,CA-Change in Groundwater Storage,Storage Change,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInGroundwaterStorage-CA,
CA,a. CA-Change in Land System Storage,CA-Change in Land System Storage,Storage Change,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInLandSystemStorage-CA,
CA,a. CA-Change in Surface Water Storage,CA-Change in Surface Water Storage,Storage Change,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInSurfaceWaterStorage-CA,
CA,a. CA-Change in Total System Storage,CA-Change in Total System Storage,Storage Change,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInTotalSystemStorage-CA,
CA,a. CA-Conveyance Evaporation,CA-Conveyance Evaporation,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/ConveyanceEvaporation-CA,
CA,a. CA-Conveyance Seepage,CA-Conveyance Seepage,Internal Transfer,Zone Surface Water,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ConveyanceSeepage-CA,
CA,a. CA-Crosssectional area subject to boundary flow (Ab),CA-Crosssectional area subject to boundary flow (Ab),NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Cross-sectionalAreaSubjectToBoundaryFlow%28Ab%29,
CA,a. CA-Daily Shortave Solar Radiation,CA-Daily Shortave Solar Radiation,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyShort-WaveSolarRadiation,
CA,a. CA-Evapotranspiration,CA-Evapotranspiration,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,"a. CA-Evapotranspiration,a. CO-Native Vegetation Consumptive Use,a. CO-Native Vegetation Consumptive Use,a. UT-Natural System Use,a. UT-Natural System Use"
CA,a. CA-Groundwater Export,CA-Groundwater Export,Outflow,Zone Groundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/GroundwaterExport-CA,
CA,a. CA-Groundwater Extraction,CA-Groundwater Extraction,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/GroundwaterExtraction-CA,"a. CA-Groundwater Extraction,a. UT-Groundwater Use,a. UT-Pumped Groundwater"
CA,a. CA-Imported Water,CA-Imported Water,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/ImportedWater-CA,"a. CA-Imported Water,a. CO-Imports,a. CO-Imports"
CA,a. CA-Lake Evaporation,CA-Lake Evaporation,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/LakeEvaporation-CA,
CA,a. CA-Lake Gain from Groundwater,CA-Lake Gain from Groundwater,Internal Transfer,Zone Groundwater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/LakeGainFromGroundwater-CA,
CA,a. CA-Lake Inflow from Streams,CA-Lake Inflow from Streams,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LakeInflowFromStreams-CA,
CA,a. CA-Lake Loss to Groundwater,CA-Lake Loss to Groundwater,Internal Transfer,Zone Surface Water,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/LakeLossToGroundwater-CA,
CA,a. CA-Lake Outflow to Streams,CA-Lake Outflow to Streams,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LakeOutflowToStreams-CA,
CA,a. CA-Managed Aquifer Recharge,CA-Managed Aquifer Recharge,Internal Transfer,Zone Land System,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/ManagedAquiferRecharge-CA,
CA,a. CA-Managed Wetland Applied Water,CA-Managed Wetland Applied Water,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ManagedWetlandAppliedWater-CA,
CA,a. CA-METRICarth Engine Evapotranspiration Flux,CA-METRICarth Engine Evapotranspiration Flux,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/METRIC-EarthEngineEvapotranspirationFlux,
CA,a. CA-MODFLOW: One Water Hydrologic Flow Model,CA-MODFLOW: One Water Hydrologic Flow Model,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/MODFLOW-OWHM%3AOneWaterHydrologicFlowModel,
CA,a. CA-NOAA National Centers for Environmental Information  Climate Data Online,CA-NOAA National Centers for Environmental Information  Climate Data Online,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/NOAANationalCentersForEnvironmentalInformation-ClimateDataOnline,
CA,a. CA-NOAA National Centers for Environmental Information  Climatological Data Publications,CA-NOAA National Centers for Environmental Information  Climatological Data Publications,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/NOAANationalCentersForEnvironmentalInformation-ClimatologicalDataPublications,
CA,a. CA-NOAA Office of Satellite and Product Operations ALEXI: Atmosphereand Exchange Inverse Model,CA-NOAA Office of Satellite and Product Operations ALEXI: Atmosphereand Exchange Inverse Model,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/NOAAOfficeOfSatelliteAndProductOperationsALEXI%3AAtmosphere-LandExchangeInverseModel,
CA,a. CA-Noth American Land Data Assimilation System (NLDAS2),CA-North American Land Data Assimilation System (NLDAS2),NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/NorthAmericanLandDataAssimilationSystem%28NLDAS-2%29,
CA,a. CA-Onfarm water use data,CA-Onfarm water use data,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/On-farmWaterUseData,
CA,a. CA-Population and Perapita Water Use,CA-Population and Perapita Water Use,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/PopulationAndPer-CapitaWaterUse,
CA,a. CA-Precipitation,CA-Precipitation,Inflow,Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Precipitation-CA,"a. CA-Precipitation,a. CO-Precipitation,a. NM-Precipitation,a. UT-Precipitation,a. WY-Precipitation"
CA,a. CA-Precipitation on Lakes,CA-Precipitation on Lakes,Inflow,Atmosphere,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/PrecipitationOnLakes-CA,
CA,a. CA-Recharge of Applied Water,CA-Recharge of Applied Water,Internal Transfer,Zone Land System,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/RechargeOfAppliedWater-CA,
CA,a. CA-Recharge of Precipitation,CA-Recharge of Precipitation,Internal Transfer,Zone Land System,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/RechargeOfPrecipitation-CA,
CA,a. CA-Recycled Water Export,CA-Recycled Water Export,Outflow,Zone Land System,External Land System,http://purl.org/iow/WaterBudgetingFramework/RecycledWaterExport-CA,
