state,name,key,flow_type,flow_source,flow_sink,uri,imports
CA,a. CA-Evapotranspiration,CA-Evapotranspiration,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,"a. CA-Evapotranspiration,a. CO-Native Vegetation Consumptive Use,a. CO-Native Vegetation Consumptive Use,a. UT-Natural System Use,a. UT-Natural System Use"
CA,a. CA-Groundwater Extraction,CA-Groundwater Extraction,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/GroundwaterExtraction-CA,"a. CA-Groundwater Extraction,a. UT-Groundwater Use,a. UT-Pumped Groundwater"
CA,a. CA-Imported Water,CA-Imported Water,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/ImportedWater-CA,"a. CA-Imported Water,a. CO-Imports,a. CO-Imports"
CA,a. CA-Precipitation,CA-Precipitation,Inflow,Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Precipitation-CA,"a. CA-Precipitation,a. CO-Precipitation,a. NM-Precipitation,a. UT-Precipitation,a. WY-Precipitation"
CA,a. CA-Return Flow,CA-Return Flow,Internal Transfer,Zone Land System,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/ReturnFlow-CA,"a. CA-Return Flow,a. UT-Total Land Return Flow"
CA,a. CA-Runoff,CA-Runoff,Internal Transfer,Zone Land System,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/Runoff-CA,"a. CA-Runoff,a. NM-Runoff"
CA,a. CA-Stream Evaporation,CA-Stream Evaporation,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/StreamEvaporation-CA,a. CA-Stream Evaporation
CA,a. CA-Stream Inflow,CA-Stream Inflow,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/StreamInflow-CA,"a. UT-Basin Inflow,a. UT-River Inflow,a. CA-Stream Inflow,a. NM-Surface Water Inflows"
CA,a. CA-Stream Outflow,CA-Stream Outflow,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/StreamOutfow-CA,"a. UT-Basin Outflow,a. CA-Stream Outflow"
CA,a. CA-Subsurface Inflow,CA-Subsurface Inflow,Inflow,External Groundwater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/SubsurfaceInflow-CA,"a. CO-Ground Water Inflow,a. CA-Subsurface Inflow,a. NM-Groundwater Inflows"
CA,a. CA-Subsurface Outflow,CA-Subsurface Outflow,Outflow,Zone Groundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/SubsurfaceOutflow-CA,"a. CO-Ground Water Outflow,a. CA-Subsurface Outflow"
CA,a. CA-Surface Water Diversions,CA-Surface Water Diversions,Internal Transfer,Zone Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDiversions-CA,"a. CA-Surface Water Diversions,a. WY-Total Diversions"
CO,a. CO-Crop Consumptive Use,CO-Crop Consumptive Use,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO,"a. CO-Crop Consumptive Use,a. UT-Agricultural Depletions,a. UT-Agricultural Depletions,a. NM-Irrigated Agriculture Depletions"
CO,a. CO-Gaged Surface Water Outflow,CO-Gaged Surface Water Outflow,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/GagedSurfaceWaterOutflow-CO,"a. WY-Gaged Stream Outflow,a. CO-Gaged Surface Water Outflow"
CO,a. CO-Ground Water Inflow,CO-Ground Water Inflow,Inflow,External Groundwater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/GroundWaterInflow-CO,"a. CO-Ground Water Inflow,a. CA-Subsurface Inflow,a. NM-Groundwater Inflows"
CO,a. CO-Ground Water Outflow,CO-Ground Water Outflow,Outflow,Zone Groundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/GroundWaterOutflow-CO,"a. CO-Ground Water Outflow,a. CA-Subsurface Outflow"
CO,a. CO-Imports,CO-Imports,Inflow,External Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Imports-CO,"a. CA-Imported Water,a. CO-Imports,a. CO-Imports"
CO,a. CO-Imports,CO-Imports,Inflow,External Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Imports-CO,"a. CA-Imported Water,a. CO-Imports,a. CO-Imports"
CO,a. CO-Livestock Consumptive Use,CO-Livestock Consumptive Use,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/LivestockConsumptiveUse-CO,"a. CO-Livestock Consumptive Use,a. CO-Livestock Consumptive Use,a. NM-Livestock,a. NM-Livestock,a. WY-Livestock Consumptive Use"
CO,a. CO-Livestock Consumptive Use,CO-Livestock Consumptive Use,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/LivestockConsumptiveUse-CO,"a. CO-Livestock Consumptive Use,a. CO-Livestock Consumptive Use,a. NM-Livestock,a. NM-Livestock,a. WY-Livestock Consumptive Use"
CO,a. CO-Municipal and Industrial Consumptive Use,CO-Municipal and Industrial Consumptive Use,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,"a. CO-Municipal and Industrial Consumptive Use,a. CO-Municipal and Industrial Consumptive Use,a. UT-Municipal and Industrial Depeltion,a. UT-Municipal and Industrial Depeltion"
