jL,cL,fsourceL,fsinkL,ftypeL,scL,pscL,exmL
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,NA,NA,NA
Bear River,Agricultural Consumptive Use,Zone Surface Water,Atmosphere,NA,NA,NA,NA
Bear River,Domestic Total Use,Zone Groundwater,Zone Land System,NA,NA,NA,NA
Bear River,Industrial Total Use,Zone Groundwater,Zone Land System,Internal Transfer,NA,NA,NA
Bear River,Industrial Total Use,Zone Surface Water,Zone Land System,Internal Transfer,NA,NA,NA
Bear River,Industrial: Natural Gas,Zone Groundwater,Atmosphere,NA,NA,Industrial Consumptive Use-WY,NA
Bear River,Industrial: Natural Gas,Zone Surface Water,Atmosphere,NA,NA,Industrial Consumptive Use-WY,NA
Bear River,Municipal Consumptive Use,Zone Groundwater,Atmosphere,NA,NA,NA,NA
Bear River,Municipal Consumptive Use,Zone Surface Water,Atmosphere,NA,NA,NA,NA
CO,Change in Ground Water Storage,NA,NA,Storage Change,NA,NA,Change in Groundwater Storage-CA
CO,Change in Surface Water Storage,NA,NA,Storage Change,NA,NA,Change in Surface Water Storage-CA
CO,Crop Consumptive Use,Zone Land System,Atmosphere,Outflow,NA,NA,NA
CO,Exports,Zone Groundwater,External Groundwater,Outflow,NA,NA,NA
CO,Exports,Zone Groundwater,External Surface Water,Outflow,NA,NA,NA
CO,Exports,Zone Surface Water,External Groundwater,Outflow,NA,NA,NA
CO,Exports,Zone Surface Water,External Surface Water,Outflow,NA,NA,NA
CO,Gaged Surface Water Inflow,External Surface Water,Zone Surface Water,NA,Basin Inflow-UT,NA,NA
CO,Gaged Surface Water Inflow,External Surface Water,Zone Surface Water,NA,River Inflow-UT,NA,NA
CO,Gaged Surface Water Outflow,Zone Surface Water,External Surface Water,Outflow,Basin Outflow-UT,NA,NA
CO,Ground Water Inflow,External Groundwater,Zone Groundwater,Inflow,NA,NA,NA
CO,Ground Water Outflow,Zone Groundwater,External Groundwater,Outflow,NA,NA,NA
CO,Imports,External Groundwater,Zone Land System,Inflow,NA,NA,NA
CO,Imports,External Surface Water,Zone Land System,Inflow,NA,NA,NA
CO,Livestock Consumptive Use,Zone Groundwater,Atmosphere,Outflow,Livestock-NMOSE,Agricultural and Municipal Depletions-UT,NA
CO,Livestock Consumptive Use,Zone Groundwater,Atmosphere,Outflow,Livestock-NMOSE,Agricultural Depletions-UT,NA
CO,Livestock Consumptive Use,Zone Surface Water,Atmosphere,Outflow,Livestock-NMOSE,Agricultural and Municipal Depletions-UT,NA
CO,Livestock Consumptive Use,Zone Surface Water,Atmosphere,Outflow,Livestock-NMOSE,Agricultural Depletions-UT,NA
CO,Municipal and Industrial Consumptive Use,Zone Groundwater,Atmosphere,Outflow,NA,Commercial-NMOSE,Municipal and Industrial Depeltion-UT
CO,Municipal and Industrial Consumptive Use,Zone Groundwater,Atmosphere,Outflow,NA,Industrial-NMOSE,Municipal and Industrial Depeltion-UT
CO,Municipal and Industrial Consumptive Use,Zone Groundwater,Atmosphere,Outflow,NA,Mining-NMOSE,Municipal and Industrial Depeltion-UT
CO,Municipal and Industrial Consumptive Use,Zone Groundwater,Atmosphere,Outflow,NA,Power-NMOSE,Municipal and Industrial Depeltion-UT
CO,Municipal and Industrial Consumptive Use,Zone Groundwater,Atmosphere,Outflow,NA,Public Water Supply-NMOSE,Municipal and Industrial Depeltion-UT
CO,Municipal and Industrial Consumptive Use,Zone Surface Water,Atmosphere,Outflow,NA,Commercial-NMOSE,Municipal and Industrial Depeltion-UT
