jL,cL,c,fsourceL,fsource,fsinkL,fsink,ftypeL,ftype,scL,sc,pscL,psc,exmL,exm
CA,Applied Water,http://purl.org/iow/WaterBudgetingFramework#AppliedWater-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemInflow-CA,NA,NA,NA,NA
CA,Applied Water Reuse/Recycled Water,http://purl.org/iow/WaterBudgetingFramework#AppliedWaterReuse%2FRecycledWater-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemInflow-CA,NA,NA,NA,NA
CA,Change in Groundwater Storage,http://purl.org/iow/WaterBudgetingFramework#ChangeInGroundwaterStorage-CA,NA,NA,NA,NA,Storage Change,http://purl.org/iow/WaterBudgetingFramework#StorageChange,Change in Total System Storage-CA,http://purl.org/iow/WaterBudgetingFramework#ChangeInTotalSystemStorage-CA,NA,NA,NA,NA
CA,Change in Land System Storage,http://purl.org/iow/WaterBudgetingFramework#ChangeInLandSystemStorage-CA,NA,NA,NA,NA,Storage Change,http://purl.org/iow/WaterBudgetingFramework#StorageChange,Change in Total System Storage-CA,http://purl.org/iow/WaterBudgetingFramework#ChangeInTotalSystemStorage-CA,NA,NA,NA,NA
CA,Change in Surface Water Storage,http://purl.org/iow/WaterBudgetingFramework#ChangeInSurfaceWaterStorage-CA,NA,NA,NA,NA,Storage Change,http://purl.org/iow/WaterBudgetingFramework#StorageChange,Change in Total System Storage-CA,http://purl.org/iow/WaterBudgetingFramework#ChangeInTotalSystemStorage-CA,NA,NA,NA,NA
CA,Change in Total System Storage,http://purl.org/iow/WaterBudgetingFramework#ChangeInTotalSystemStorage-CA,NA,NA,NA,NA,Storage Change,http://purl.org/iow/WaterBudgetingFramework#StorageChange,NA,NA,NA,NA,NA,NA
CA,Conveyance Evaporation,http://purl.org/iow/WaterBudgetingFramework#ConveyanceEvaporation-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#Atmosphere,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Human Consumption-NM,http://purl.org/iow/WaterBudgetingFramework#HumanConsumption-NM,NA,NA,NA,NA
CA,Conveyance Evaporation,http://purl.org/iow/WaterBudgetingFramework#ConveyanceEvaporation-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#Atmosphere,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Conveyance Seepage,http://purl.org/iow/WaterBudgetingFramework#ConveyanceSeepage-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA,NA,NA
CA,Conveyance Seepage,http://purl.org/iow/WaterBudgetingFramework#ConveyanceSeepage-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Evapotranspiration,http://purl.org/iow/WaterBudgetingFramework#Evapotranspiration-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#Atmosphere,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Land System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemOutflow-CA,NA,NA,NA,NA
CA,Groundwater Export,http://purl.org/iow/WaterBudgetingFramework#GroundwaterExport-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework#ExternalGroundwater,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Groundwater System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemOutflow-CA,NA,NA,NA,NA
CA,Groundwater Extraction,http://purl.org/iow/WaterBudgetingFramework#GroundwaterExtraction-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemOutflow-CA,NA,NA,NA,NA
CA,Groundwater Extraction,http://purl.org/iow/WaterBudgetingFramework#GroundwaterExtraction-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemInflow-CA,NA,NA,NA,NA
CA,Imported Water,http://purl.org/iow/WaterBudgetingFramework#ImportedWater-CA,External Surface Water,http://purl.org/iow/WaterBudgetingFramework#ExternalSurfaceWater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Inflow,http://purl.org/iow/WaterBudgetingFramework#Inflow,Total Surface Water Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA
CA,Lake Evaporation,http://purl.org/iow/WaterBudgetingFramework#LakeEvaporation-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#Atmosphere,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Lake Gain from Groundwater,http://purl.org/iow/WaterBudgetingFramework#LakeGainFromGroundwater-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemOutflow-CA,NA,NA,NA,NA
CA,Lake Gain from Groundwater,http://purl.org/iow/WaterBudgetingFramework#LakeGainFromGroundwater-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA
CA,Lake Loss to Groundwater,http://purl.org/iow/WaterBudgetingFramework#LakeLossToGroundwater-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Recharge-NM,http://purl.org/iow/WaterBudgetingFramework#Recharge-NM,NA,NA,NA,NA
CA,Lake Loss to Groundwater,http://purl.org/iow/WaterBudgetingFramework#LakeLossToGroundwater-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA,NA,NA
CA,Lake Loss to Groundwater,http://purl.org/iow/WaterBudgetingFramework#LakeLossToGroundwater-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Managed Aquifer Recharge,http://purl.org/iow/WaterBudgetingFramework#ManagedAquiferRecharge-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Recharge-NM,http://purl.org/iow/WaterBudgetingFramework#Recharge-NM,NA,NA,NA,NA
CA,Managed Aquifer Recharge,http://purl.org/iow/WaterBudgetingFramework#ManagedAquiferRecharge-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA,NA,NA
CA,Managed Aquifer Recharge,http://purl.org/iow/WaterBudgetingFramework#ManagedAquiferRecharge-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemOutflow-CA,NA,NA,NA,NA
CA,Precipitation,http://purl.org/iow/WaterBudgetingFramework#Precipitation-CA,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Inflow,http://purl.org/iow/WaterBudgetingFramework#Inflow,Precipitation-NM,http://purl.org/iow/WaterBudgetingFramework#Precipitation-NM,NA,NA,NA,NA
CA,Precipitation,http://purl.org/iow/WaterBudgetingFramework#Precipitation-CA,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Inflow,http://purl.org/iow/WaterBudgetingFramework#Inflow,Total Land System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemInflow-CA,NA,NA,NA,NA
CA,Precipitation on Lakes,http://purl.org/iow/WaterBudgetingFramework#PrecipitationOnLakes-CA,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#Atmosphere,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Inflow,http://purl.org/iow/WaterBudgetingFramework#Inflow,Precipitation-NM,http://purl.org/iow/WaterBudgetingFramework#Precipitation-NM,NA,NA,NA,NA
