dsL,pL,emL,cL
SCS TR21,Crop Growth State Coefficient (Kc),Original Blaney-Criddle,Irrigated Agriculture Depletions-NMOSE
Weather Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture Depletions-NMOSE
SCS TR21,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture Depletions-NMOSE
PRISM,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture Depletions-NMOSE
SCS TR21,Crop Growth State Coefficient (Kc),Modified Blaney-Criddle,Irrigated Agriculture Depletions-NMOSE
NA,NA,NA,Total Annual Natural Streamflow-WY
NA,NA,NA,Divertible Flow-WY
NA,NA,NA,Surface Diversion to Cropland-UT
NA,NA,NA,Municipal and Industrial Diversions-UT
Facility Director or Operator,Water Use Estimate,Personal Outreach,Commercial: Unmetered-NMOSE
NA,NA,NA,Total Diversions-WY
NM Office of the State Engineer (NMOSE),Gallons Per Capita Per Day (GPCD),NM Withdrawal Method,Livestock: Unmetered-NMOSE
Brown and Caldwell1984,Gallons Per Capita Per Day (GPCD),NM Withdrawal Method,Livestock: Unmetered-NMOSE
NMOSE Technical Report No. 48,Gallons Per Capita Per Day (GPCD),NM Withdrawal Method,Livestock: Unmetered-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Self Supplied Domestic Population,NM Withdrawal Method,Livestock: Unmetered-NMOSE
New Mexico Environment Department (NMED),Self Supplied Domestic Population,NM Withdrawal Method,Livestock: Unmetered-NMOSE
US Census Bureau,Self Supplied Domestic Population,NM Withdrawal Method,Livestock: Unmetered-NMOSE
Population Served by Public Water Supply,Self Supplied Domestic Population,NM Withdrawal Method,Livestock: Unmetered-NMOSE
Military Base Population Data,Self Supplied Domestic Population,NM Withdrawal Method,Livestock: Unmetered-NMOSE
GPS Population Data,Self Supplied Domestic Population,NM Withdrawal Method,Livestock: Unmetered-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Population Served by Public Water Supply,NM Withdrawal Method,Livestock: Unmetered-NMOSE
New Mexico Environment Department (NMED),Population Served by Public Water Supply,NM Withdrawal Method,Livestock: Unmetered-NMOSE
US Census Bureau,Population Served by Public Water Supply,NM Withdrawal Method,Livestock: Unmetered-NMOSE
Military Base Population Data,Population Served by Public Water Supply,NM Withdrawal Method,Livestock: Unmetered-NMOSE
GPS Population Data,Population Served by Public Water Supply,NM Withdrawal Method,Livestock: Unmetered-NMOSE
New Mexico Department of Agriculture,Livestock Population,NM Withdrawal Method,Livestock: Unmetered-NMOSE
NA,NA,NA,Commercial-NMOSE
