dsL,pL,emL,cL
NA,NA,NA,Agricultural and Municipal Depletions-UT
National Oceanic and Atmospheric Administration Stations,Solar Radiation,CO Consumptive Use Method,Crop Consumptive Use-CO
PRISM,Solar Radiation,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Solar Radiation,CO Consumptive Use Method,Crop Consumptive Use-CO
Snotel Network of Weather Stations,Solar Radiation,CO Consumptive Use Method,Crop Consumptive Use-CO
Weather Stations,Solar Radiation,CO Consumptive Use Method,Crop Consumptive Use-CO
Community Collaborative Rain Hail and Snow Network (CoCoRaHS),Solar Radiation,CO Consumptive Use Method,Crop Consumptive Use-CO
Remote Automated Weather Stations (RAWS),Solar Radiation,CO Consumptive Use Method,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Temperature,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Temperature,CO Consumptive Use Method,Crop Consumptive Use-CO
Snotel Network of Weather Stations,Temperature,CO Consumptive Use Method,Crop Consumptive Use-CO
Community Collaborative Rain Hail and Snow Network (CoCoRaHS),Temperature,CO Consumptive Use Method,Crop Consumptive Use-CO
Remote Automated Weather Stations (RAWS),Temperature,CO Consumptive Use Method,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Wind Run,CO Consumptive Use Method,Crop Consumptive Use-CO
PRISM,Wind Run,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Wind Run,CO Consumptive Use Method,Crop Consumptive Use-CO
Snotel Network of Weather Stations,Wind Run,CO Consumptive Use Method,Crop Consumptive Use-CO
Weather Stations,Wind Run,CO Consumptive Use Method,Crop Consumptive Use-CO
Community Collaborative Rain Hail and Snow Network (CoCoRaHS),Wind Run,CO Consumptive Use Method,Crop Consumptive Use-CO
Remote Automated Weather Stations (RAWS),Wind Run,CO Consumptive Use Method,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),CO Consumptive Use Method,Crop Consumptive Use-CO
PRISM,Climate Coefficient (kt),CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Climate Coefficient (kt),CO Consumptive Use Method,Crop Consumptive Use-CO
SCS TR21,Crop Growth State Coefficient (Kc),CO Consumptive Use Method,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),CO Consumptive Use Method,Crop Consumptive Use-CO
PRISM,Mean Monthly Air Temperatures (T),CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Mean Monthly Air Temperatures (T),CO Consumptive Use Method,Crop Consumptive Use-CO
Weather Stations,Mean Monthly Air Temperatures (T),CO Consumptive Use Method,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Crop Irrigation Requirement,CO Consumptive Use Method,Crop Consumptive Use-CO
PRISM,Crop Irrigation Requirement,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Crop Irrigation Requirement,CO Consumptive Use Method,Crop Consumptive Use-CO
SCS TR21,Crop Irrigation Requirement,CO Consumptive Use Method,Crop Consumptive Use-CO
Snotel Network of Weather Stations,Crop Irrigation Requirement,CO Consumptive Use Method,Crop Consumptive Use-CO
Weather Stations,Crop Irrigation Requirement,CO Consumptive Use Method,Crop Consumptive Use-CO
Community Collaborative Rain Hail and Snow Network (CoCoRaHS),Crop Irrigation Requirement,CO Consumptive Use Method,Crop Consumptive Use-CO
Remote Automated Weather Stations (RAWS),Crop Irrigation Requirement,CO Consumptive Use Method,Crop Consumptive Use-CO
Satellite and Aerial Photos,Crop Type,CO Consumptive Use Method,Crop Consumptive Use-CO
National Agricultural Statistics Service (NASS) Cropland Data Layer,Crop Type,CO Consumptive Use Method,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Effective Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
PRISM,Effective Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Effective Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Snotel Network of Weather Stations,Effective Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Weather Stations,Effective Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Community Collaborative Rain Hail and Snow Network (CoCoRaHS),Effective Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Remote Automated Weather Stations (RAWS),Effective Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Historical Data,Irrigated Acreage,CO Consumptive Use Method,Crop Consumptive Use-CO
HydroBase,Irrigated Acreage,CO Consumptive Use Method,Crop Consumptive Use-CO
Satellite and Aerial Photos,Irrigated Acreage,CO Consumptive Use Method,Crop Consumptive Use-CO
National Agricultural Statistics Service (NASS) Cropland Data Layer,Irrigated Acreage,CO Consumptive Use Method,Crop Consumptive Use-CO
HydroBase,Irrigation Method,CO Consumptive Use Method,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Potential Consumptive Use,CO Consumptive Use Method,Crop Consumptive Use-CO
PRISM,Potential Consumptive Use,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Potential Consumptive Use,CO Consumptive Use Method,Crop Consumptive Use-CO
Snotel Network of Weather Stations,Potential Consumptive Use,CO Consumptive Use Method,Crop Consumptive Use-CO
Weather Stations,Potential Consumptive Use,CO Consumptive Use Method,Crop Consumptive Use-CO
