state_cL,ftype_cL,fsource_cL,fsink_cL,cL,exmL,state_exmL,ftype_exmL,fsource_exmL,fsink_exmL,c,exm,empty
UT,Outflow,Zone Groundwater,Atmosphere,Agricultural and Municipal Depletions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAndMunicipalDepletions-UT,NA,NA
UT,Outflow,Zone Surface Water,Atmosphere,Agricultural and Municipal Depletions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAndMunicipalDepletions-UT,NA,NA
WY,NA,Zone Groundwater,Atmosphere,Municipal Consumptive Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,NA,NA
WY,NA,Zone Surface Water,Atmosphere,Municipal Consumptive Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,NA,NA
WY,NA,Zone Groundwater,Zone Land System,Municipal Total Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/MunicipalTotalUse-WY,NA,NA
WY,NA,Zone Surface Water,Zone Land System,Municipal Total Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/MunicipalTotalUse-WY,NA,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Agricultural and Municipal Diversions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAndMunicipalDiversions-UT,NA,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,Agricultural and Municipal Diversions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAndMunicipalDiversions-UT,NA,NA
CA,Internal Transfer,Zone Land System,Zone Land System,Applied Water-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA,NA
UT,NA,NA,NA,UT Division of Water Resources Area-Altitude Method,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/UTDivisionOfWaterResourcesArea-AltitudeMethod,NA,NA
WY,NA,NA,NA,Powder-Tongue River,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Powder-TongueRiver,NA,NA
WY,NA,NA,NA,Salt-Snake River,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Salt-SnakeRiver,NA,NA
WY,NA,NA,NA,Wind-Bighorn River,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Wind-BighornRiver,NA,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Agricultural Potential Consumptive Use-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalPotentialConsumptiveUse-UT,NA,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,Agricultural Potential Consumptive Use-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalPotentialConsumptiveUse-UT,NA,NA
UT,NA,NA,NA,Daily Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,NA,NA
WY,NA,NA,NA,Daily Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,NA,NA
NM,NA,NA,NA,Daily Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,NA,NA
CO,NA,NA,NA,Daily Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,NA,NA
UT,NA,NA,NA,Modified Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,NA,NA
WY,NA,NA,NA,Modified Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,NA,NA
NM,NA,NA,NA,Modified Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,NA,NA
CO,NA,NA,NA,Modified Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,NA,NA
CA,NA,NA,NA,Total Land System Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalLandSystemInflow-CA,NA,NA
CO,Outflow,Zone Groundwater,External Surface Water,Exports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,NA,NA
CO,Outflow,Zone Groundwater,External Groundwater,Exports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,NA,NA
CO,Outflow,Zone Surface Water,External Surface Water,Exports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,NA,NA
CO,Outflow,Zone Surface Water,External Groundwater,Exports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,NA,NA
CO,Inflow,External Surface Water,Zone Surface Water,Ungaged Surface Water Inflow-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/UngagedSurfaceWaterInflow-CO,NA,NA
CA,NA,NA,NA,Total Surface Water Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalSurfaceWaterInflow-CA,NA,NA
UT,NA,NA,NA,Modified Blaney-Criddle with ET Elevation Adjustment,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-CriddleWithETElevationAdjustment,NA,NA
WY,NA,NA,NA,Modified Blaney-Criddle with ET Elevation Adjustment,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-CriddleWithETElevationAdjustment,NA,NA
CO,NA,NA,NA,Modified Blaney-Criddle with ET Elevation Adjustment,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-CriddleWithETElevationAdjustment,NA,NA
WY,NA,NA,NA,On-Farm Water Balance,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/On-FarmWaterBalance,NA,NA
CO,NA,NA,NA,On-Farm Water Balance,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/On-FarmWaterBalance,NA,NA
UT,NA,NA,NA,Original Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-Criddle,NA,NA
NM,NA,NA,NA,Original Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-Criddle,NA,NA
CO,NA,NA,NA,Original Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-Criddle,NA,NA
CO,NA,NA,NA,Original Blaney-Criddle with ET Elevation Adjustment,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-CriddleWithETElevationAdjustment,NA,NA
CO,Storage Change,NA,NA,Change in Ground Water Storage-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInGroundWaterStorage-CO,NA,NA
CA,Storage Change,NA,NA,Change in Groundwater Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInGroundwaterStorage-CA,NA,NA
