state_cL,ftype_cL,fsource_cL,fsink_cL,cL,exmL,state_exmL,ftype_exmL,fsource_exmL,fsink_exmL,c,exm,empty
CA,Inflow,NA,Zone Groundwater,Water Release Caused by Land Subsidence-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WaterReleaseCausedByLandSubsidence-CA,NA,NA
UT,NA,NA,NA,UT Reservoir Storage and Release Records,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#UTReservoirStorageAndReleaseRecords,NA,NA
NM,Outflow,Zone Surface Water,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Crop Consumptive Use-CO,CO,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#CropConsumptiveUse-CO,NA
NM,Outflow,Zone Groundwater,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Crop Consumptive Use-CO,CO,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#CropConsumptiveUse-CO,NA
WY,NA,Zone Groundwater,Zone Land System,Domestic Total Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#DomesticTotalUse-WY,NA,NA
NM,NA,NA,NA,Climate Coefficient (kt),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ClimateCoefficient%28kt%29,NA,NA
NM,NA,NA,NA,Interpolation from Other Records,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#InterpolationFromOtherRecords,NA,NA
WY,NA,NA,NA,Diversions,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Diversions,NA,NA
CO,NA,NA,NA,Diversions,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Diversions,NA,NA
UT,NA,NA,NA,UT Other Irrigation Company Records,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#UTOtherIrrigationCompanyRecords,NA,NA
UT,NA,NA,NA,Historical Data,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#HistoricalData,NA,NA
CO,NA,NA,NA,Historical Data,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#HistoricalData,NA,NA
CA,Internal Transfer,Zone Surface Water,Zone Groundwater,Conveyance Seepage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ConveyanceSeepage-CA,NA,NA
WY,NA,NA,NA,Pan Method (Net Evaporation),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#PanMethod%28NetEvaporation%29,NA,NA
CA,Internal Transfer,Zone Land System,Zone Groundwater,Recharge of Applied Water-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#RechargeOfAppliedWater-CA,NA,NA
CO,NA,NA,NA,CO Livestock Method,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#COLivestockMethod,NA,NA
UT,NA,NA,NA,Water Resources Studies,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WaterResourcesStudies,NA,NA
CO,NA,NA,NA,Solar Radiation,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#SolarRadiation,NA,NA
