state_cL,ftype_cL,fsource_cL,fsink_cL,cL,pscL,state_pscL,ftype_pscL,fsource_pscL,fsink_pscL,c,psc,empty
UT,NA,NA,NA,UT Division of Water Resources Area-Altitude Method,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/UTDivisionOfWaterResourcesArea-AltitudeMethod,NA,NA
CA,Outflow,Zone Land System,Atmosphere,Evapotranspiration-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,NA,NA
WY,Internal Transfer,Zone Surface Water,Zone Land System,Total Diversions-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalDiversions-WY,NA,NA
WY,NA,NA,NA,Powder-Tongue River,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Powder-TongueRiver,NA,NA
WY,NA,NA,NA,Salt-Snake River,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Salt-SnakeRiver,NA,NA
WY,NA,NA,NA,Wind-Bighorn River,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Wind-BighornRiver,NA,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Agricultural Potential Consumptive Use-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalPotentialConsumptiveUse-UT,NA,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,Agricultural Potential Consumptive Use-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalPotentialConsumptiveUse-UT,NA,NA
UT,NA,NA,NA,Daily Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,NA,NA
WY,NA,NA,NA,Daily Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,NA,NA
NM,NA,NA,NA,Daily Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,NA,NA
CO,NA,NA,NA,Daily Penman-Monteith,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,NA,NA
UT,NA,NA,NA,Modified Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,NA,NA
WY,NA,NA,NA,Modified Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,NA,NA
NM,NA,NA,NA,Modified Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,NA,NA
CO,NA,NA,NA,Modified Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,NA,NA
CA,NA,NA,NA,Total Land System Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalLandSystemInflow-CA,NA,NA
CA,NA,NA,NA,Total Surface Water Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalSurfaceWaterOutflow-CA,NA,NA
CA,NA,NA,NA,Total Surface Water Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalSurfaceWaterInflow-CA,NA,NA
UT,NA,NA,NA,Modified Blaney-Criddle with ET Elevation Adjustment,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-CriddleWithETElevationAdjustment,NA,NA
WY,NA,NA,NA,Modified Blaney-Criddle with ET Elevation Adjustment,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-CriddleWithETElevationAdjustment,NA,NA
CO,NA,NA,NA,Modified Blaney-Criddle with ET Elevation Adjustment,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-CriddleWithETElevationAdjustment,NA,NA
WY,NA,NA,NA,On-Farm Water Balance,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/On-FarmWaterBalance,NA,NA
CO,NA,NA,NA,On-Farm Water Balance,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/On-FarmWaterBalance,NA,NA
UT,NA,NA,NA,Original Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-Criddle,NA,NA
NM,NA,NA,NA,Original Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-Criddle,NA,NA
CO,NA,NA,NA,Original Blaney-Criddle,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-Criddle,NA,NA
CO,NA,NA,NA,Original Blaney-Criddle with ET Elevation Adjustment,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-CriddleWithETElevationAdjustment,NA,NA
CO,Storage Change,NA,NA,Change in Ground Water Storage-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInGroundWaterStorage-CO,NA,NA
CA,Storage Change,NA,NA,Change in Groundwater Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInGroundwaterStorage-CA,NA,NA
CA,Storage Change,NA,NA,Change in Total System Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInTotalSystemStorage-CA,NA,NA
CA,Storage Change,NA,NA,Change in Land System Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInLandSystemStorage-CA,NA,NA
CA,Storage Change,NA,NA,Change in Surface Water Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInSurfaceWaterStorage-CA,NA,NA
CO,Storage Change,NA,NA,Change in Surface Water Storage-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInSurfaceWaterStorage-CO,NA,NA
CO,NA,NA,NA,Direct Flow Demand - Annual,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DirectFlowDemand-Annual,NA,NA
CO,NA,NA,NA,Direct Flow Demand - Monthly,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DirectFlowDemand-Monthly,NA,NA
CO,NA,NA,NA,Instream Flow Demand - Annual,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/InstreamFlowDemand-Annual,NA,NA
