state_cL,ftype_cL,fsource_cL,fsink_cL,cL,scL,state_scL,ftype_scL,fsource_scL,fsink_scL,c,sc,empty
CA,Inflow,NA,Zone Groundwater,Water Release Caused by Land Subsidence-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WaterReleaseCausedByLandSubsidence-CA,NA,NA
NM,Outflow,Zone Surface Water,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture Diversions-NMOSE,NM,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDiversions-NMOSE,NA
NM,Outflow,Zone Groundwater,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture Diversions-NMOSE,NM,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDiversions-NMOSE,NA
NM,Outflow,Zone Surface Water,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture Diversions-NMOSE,NM,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDiversions-NMOSE,NA
NM,Outflow,Zone Groundwater,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture Diversions-NMOSE,NM,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDiversions-NMOSE,NA
NM,Outflow,Zone Surface Water,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
NM,Outflow,Zone Groundwater,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
NM,Outflow,Zone Surface Water,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
NM,Outflow,Zone Groundwater,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
NM,Outflow,Zone Surface Water,Atmosphere,Irrigated Agriculture Depletions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDepletions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
