j,jL,c,cL,em,emL,p,pL,ds,dsL
http://purl.org/iow/WaterBudgetingFramework/UT,UT,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAndMunicipalDepletions-UT,Agricultural and Municipal Depletions-UT,NA,NA,NA,NA,NA,NA
http://purl.org/iow/WaterBudgetingFramework/UT,UT,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAndMunicipalDiversions-UT,Agricultural and Municipal Diversions-UT,http://purl.org/iow/WaterBudgetingFramework/USGSStreamStats,USGS StreamStats,http://purl.org/iow/WaterBudgetingFramework/Flow,Flow,http://purl.org/iow/WaterBudgetingFramework/USGSStreamGages,USGS Stream Gages
http://purl.org/iow/WaterBudgetingFramework/CA,CA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,Agricultural Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CropETApproach,Crop ET Approach,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CAAgriculturalWaterManagementPlans,CA Agricultural Water Management Plans
http://purl.org/iow/WaterBudgetingFramework/CA,CA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,Agricultural Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CropETApproach,Crop ET Approach,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CADWRDemographicData,CA DWR Demographic Data
http://purl.org/iow/WaterBudgetingFramework/CA,CA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,Agricultural Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CropETApproach,Crop ET Approach,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CADWRIrrigationMethodsSurvey,CA DWR Irrigation Methods Survey
http://purl.org/iow/WaterBudgetingFramework/CA,CA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,Agricultural Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CropETApproach,Crop ET Approach,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/DWRLandUseSurveys,CA DWR Land Use Surveys
http://purl.org/iow/WaterBudgetingFramework/CA,CA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,Agricultural Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CropETApproach,Crop ET Approach,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CADWRLandUseViewer,CA DWR Land Use Viewer
http://purl.org/iow/WaterBudgetingFramework/CA,CA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,Agricultural Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CropETApproach,Crop ET Approach,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CADWRSGMADataViewer,CA DWR SGMA Data Viewer
http://purl.org/iow/WaterBudgetingFramework/CA,CA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,Agricultural Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CropETApproach,Crop ET Approach,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CAIntegratedWaterFlowModel%28IWFM%29,CA Integrated Water Flow Model (IWFM)
http://purl.org/iow/WaterBudgetingFramework/CA,CA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,Agricultural Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CropETApproach,Crop ET Approach,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,Applied Water-CA,http://purl.org/iow/WaterBudgetingFramework/CAIntegratedWaterFlowModel%28IWFM%29DemandCalculator,CA Integrated Water Flow Model (IWFM) Demand Calculator
